	MuonType	wheel	sector	station	hits	tdcs	lateralities	Q	phi	phib	bX	Chi2	x	tanPsi	t0	id
3080	[Std  ]	 1	10	3 	[44, 44, 44, -1, -1, -1, -1, -1]	[584.0, 814.0, 559.0, -1.0, -1.0, -1.0, -1.0, -1.0]	[0, 1, 0, -1, -1, -1, -1, -1]	Q1	-3406.0	-54.0	0.0	156.0	37894.0	-52.0	499.0	73703-33
3081	[Std  ]	 2	10	4 	[27, 27, 27, 27, 27, 27, 27, 27]	[795.0, 600.0, 778.0, 619.0, 620.0, 784.0, 594.0, 793.0]	[0, 1, 0, 1, 0, 1, 0, 1]	Q8	-3739.0	-26.0	0.0	3203.0	14709.0	-41.0	500.0	73703-34
3082	[Std  ]	 1	 3	1 	[10, 10, 9, -1, -1, -1, -1, -1]	[601.0, 621.0, 779.0, -1.0, -1.0, -1.0, -1.0, -1.0]	[0, 1, 1, -1, -1, -1, -1, -1]	Q1	30249.0	1089.0	1.0	39.0	-59438.0	955.0	532.0	73703-35
3083	[Std  ]	 0	 6	1 	[17, 18, 17, -1, -1, -1, -1, -1]	[839.0, 754.0, 664.0, -1.0, -1.0, -1.0, -1.0, -1.0]	[1, 0, 1, -1, -1, -1, -1, -1]	Q1	20488.0	397.0	2.0	0.0	-26994.0	365.0	559.0	73703-36
3084	[Std  ]	 1	 3	1 	[-1, 10, 9, 10, -1, -1, -1, -1]	[-1.0, 621.0, 779.0, 780.0, -1.0, -1.0, -1.0, -1.0]	[-1, 0, 1, 0, -1, -1, -1, -1]	Q1	30391.0	182.0	2.0	78.0	-59919.0	332.0	546.0	73703-37
3085	[Std  ]	 2	 1	1 	[5, 6, 5, 6, 7, 7, 7, 8]	[642.0, 835.0, 751.0, 721.0, 701.0, 889.0, 588.0, 898.0]	[1, 0, 1, 0, 0, 1, 0, 0]	Q8	33834.0	-980.0	3.0	15332.0	-74738.0	-224.0	572.0	73703-38
3086	[Bayes]	 2	10	1 	[26, -1, 26, 26, 18, 19, 19, 18]	[561.0, -1.0, 543.0, 815.0, 834.0, 746.0, 568.0, 676.0]	[1, 0, 1, 1, 1, 1, 1, 1]	Q7	13345.0	1590.0	-10.0	0.0	-4899.0	1205.0	262.0	73706-1
3087	[Bayes]	 2	10	1 	[26, -1, 26, 26, 18, 19, 19, 20]	[561.0, -1.0, 543.0, 815.0, 834.0, 746.0, 568.0, 823.0]	[1, 0, 1, 1, 1, 1, 1, 1]	Q7	13345.0	1590.0	-10.0	0.0	-4899.0	1205.0	262.0	73706-2
3088	[Bayes]	 0	 6	2 	[23, 23, 23, 23, -1, -1, -1, -1]	[538.0, 842.0, 536.0, 848.0, -1.0, -1.0, -1.0, -1.0]	[1, 1, 0, 0, 0, 0, 0, 0]	Q3	2205.0	651.0	-2.0	0.0	-29871.0	348.0	453.0	73706-3
3089	[Bayes]	 2	10	1 	[26, -1, 26, 26, -1, -1, -1, -1]	[561.0, -1.0, 543.0, 815.0, -1.0, -1.0, -1.0, -1.0]	[0, 0, 0, 1, -1, 0, 0, 0]	Q1	9208.0	-220.0	-1.0	0.0	9638.0	-38.0	480.0	73706-4
3090	[Bayes]	 0	 0	1 	[23, 23, 23, 23, 23, 23, 23, 24]	[586.0, 818.0, 544.0, 867.0, 555.0, 847.0, 512.0, 877.0]	[1, 1, 1, 1, 1, 1, 0, 1]	Q8	10372.0	33.0	0.0	140.0	-4968.0	-96.0	497.0	73706-5
3091	[Bayes]	 0	 0	2 	[43, 44, 43, 44, -1, -1, -1, -1]	[664.0, 689.0, 713.0, 640.0, -1.0, -1.0, -1.0, -1.0]	[1, 0, 1, 0, -1, 0, 0, 0]	Q3	10665.0	42.0	0.0	0.0	62265.0	-102.0	495.0	73706-6
3092	[Bayes]	 1	 6	4 	[67, 67, 67, 67, 69, 69, -1, 69]	[830.0, 551.0, 844.0, 549.0, 870.0, 521.0, -1.0, 518.0]	[0, 0, 0, 0, 0, 0, 0, 0]	Q7	1748.0	-12.0	0.0	463.0	85235.0	7.0	501.0	73706-7
3093	[Bayes]	 2	10	1 	[26, -1, 26, 26, -1, -1, -1, -1]	[561.0, -1.0, 543.0, 815.0, -1.0, -1.0, -1.0, -1.0]	[1, 0, 1, 1, -1, 0, 0, 0]	Q1	9118.0	233.0	0.0	0.0	9928.0	185.0	507.0	73706-8
3094	[Bayes]	 2	10	1 	[26, -1, 26, 26, -1, -1, -1, -1]	[561.0, -1.0, 543.0, 815.0, -1.0, -1.0, -1.0, -1.0]	[1, 0, 1, 1, -1, 0, 0, 0]	Q1	9118.0	233.0	0.0	0.0	9928.0	185.0	507.0	73706-9
3095	[Bayes]	 2	10	1 	[26, -1, 26, 26, -1, -1, -1, -1]	[561.0, -1.0, 543.0, 815.0, -1.0, -1.0, -1.0, -1.0]	[1, 0, 1, 1, -1, 0, 0, 0]	Q1	9118.0	233.0	0.0	0.0	9928.0	185.0	507.0	73706-10
3096	[Bayes]	 2	10	1 	[26, -1, 26, 26, -1, -1, -1, -1]	[561.0, -1.0, 543.0, 815.0, -1.0, -1.0, -1.0, -1.0]	[1, 0, 1, 1, -1, 0, 0, 0]	Q1	9118.0	233.0	0.0	0.0	9928.0	185.0	507.0	73706-11
3097	[Bayes]	 2	10	1 	[-1, -1, -1, -1, 19, 19, 19, 20]	[-1.0, -1.0, -1.0, -1.0, 842.0, 746.0, 568.0, 823.0]	[0, 0, 0, 0, 0, 1, 1, 1]	Q3	18005.0	-1336.0	1.0	174.0	-22073.0	-566.0	532.0	73706-12
3098	[Bayes]	-1	 5	1 	[23, 24, 23, 23, 16, 16, 16, 16]	[878.0, 1001.0, 859.0, 725.0, 858.0, 919.0, 1010.0, 903.0]	[1, 1, 1, 1, 1, 1, 0, 1]	Q8	5857.0	-1912.0	7.0	2118941.0	-19817.0	1233.0	687.0	73706-13
3099	[Bayes]	 2	10	1 	[-1, -1, -1, -1, 19, 19, 18, 20]	[-1.0, -1.0, -1.0, -1.0, 842.0, 746.0, 778.0, 823.0]	[0, 0, 0, 0, 0, 1, 0, 0]	Q3	18283.0	-830.0	7.0	18206535.0	-23026.0	-272.0	672.0	73706-14
3100	[Bayes]	 0	 0	2 	[43, 44, 43, 44, 45, 45, 45, 45]	[664.0, 689.0, 713.0, 640.0, 689.0, 714.0, 649.0, 757.0]	[1, 0, 1, 0, 1, 0, 1, 1]	Q8	10404.0	30.0	8.0	0.0	62197.0	-94.0	712.0	73706-15
3101	[Bayes]	-1	 5	1 	[-1, -1, -1, -1, 16, 16, 16, 16]	[-1.0, -1.0, -1.0, -1.0, 858.0, 919.0, 1010.0, 903.0]	[0, 0, 0, 0, 1, 1, 0, 1]	Q3	1498.0	-825.0	12.0	851182.0	-34027.0	413.0	789.0	73706-16
3102	[Bayes]	 0	 6	1 	[31, 31, 31, 31, 31, 32, 31, 32]	[542.0, 843.0, 538.0, 841.0, 839.0, 539.0, 841.0, 544.0]	[1, 1, 1, 1, 1, 1, 1, 1]	Q8	3098.0	-40.0	13.0	0.0	28905.0	4.0	832.0	73706-17
3103	[Std  ]	 2	10	1 	[26, -1, 26, 26, -1, -1, -1, -1]	[561.0, -1.0, 543.0, 815.0, -1.0, -1.0, -1.0, -1.0]	[0, -1, 0, 1, -1, -1, -1, -1]	Q1	9208.0	-221.0	-1.0	0.0	9638.0	-38.0	481.0	73706-18
3104	[Std  ]	 0	 0	1 	[23, 23, 23, 23, 23, 23, 23, 24]	[586.0, 818.0, 544.0, 867.0, 555.0, 847.0, 512.0, 877.0]	[0, 1, 0, 1, 0, 1, 0, 0]	Q8	10372.0	34.0	0.0	859.0	-4966.0	-96.0	498.0	73706-19
3105	[Std  ]	 0	 6	1 	[31, 31, 31, 31, 31, 32, 31, 32]	[542.0, 843.0, 538.0, 841.0, 839.0, 539.0, 841.0, 544.0]	[0, 1, 0, 1, 1, 0, 1, 0]	Q8	2532.0	-39.0	0.0	1016.0	30766.0	0.0	497.0	73706-20
3106	[Std  ]	 0	 0	2 	[43, 44, 43, 44, 45, 45, 45, 45]	[664.0, 689.0, 713.0, 640.0, 689.0, 714.0, 649.0, 757.0]	[1, 0, 1, 0, 0, 1, 0, 1]	Q8	10702.0	25.0	0.0	2109.0	63372.0	-94.0	497.0	73706-21
3107	[Std  ]	 0	 6	2 	[23, 23, 23, 23, -1, -1, -1, -1]	[538.0, 842.0, 536.0, 848.0, -1.0, -1.0, -1.0, -1.0]	[0, 1, 0, 1, -1, -1, -1, -1]	Q3	2202.0	-51.0	0.0	117.0	-29863.0	-8.0	497.0	73706-22
