
Inspecting Event Number 12006 
        Wh   Se   St  | w1 w2 w3 w4 w5 w6 w7 w8 |  tdc1  tdc2  tdc3  tdc4  tdc5  tdc6  tdc7  tdc8 | lat1 lat2 lat3 lat4 lat5 lat6 lat7 lat8 | Q     phi  phib  bX      Chi2         x tanPsi     t0 
[Bayes]: Wh 1 Se 1 St2 | -1 -1 -1 -1 49 49 49 49 |    -1    -1    -1    -1   851   582   750   685 |   0    0    0    0    0    1    0    1 | Q3 -25581   -29   0        29     82247   -213    497
[Bayes]: Wh 1 Se 1 St2 | 48 49 49 49 49 49 49 49 |   784   553   850   550   851   582   750   685 |   1    1    0    0    0    1    0    1 | Q8 -25553   -21   0      5601     79802   -208    494
[Bayes]: Wh 1 Se 1 St2 | -1 -1 -1 -1 49 49 49 49 |    -1    -1    -1    -1   851   582   750   685 |   0    0    0    0    0    1    0    1 | Q3 -25581   -29   0        29     82247   -213    497
[Bayes]: Wh 1 Se 1 St2 | 48 49 49 49 -1 -1 -1 -1 |   784   553   850   550    -1    -1    -1    -1 |   1    1    0    0   -1    0    0    0 | Q3 -25560    31   0    209402     77512   -182    495
[Bayes]: Wh 1 Se 1 St3 | 69 69 69 70 70 71 70 71 |   593   844   510   835   521   817   615   722 |   0    1    0    0    0    0    1    0 | Q8 -25767   -10   0       200    145552   -204    500
[Bayes]: Wh 1 Se 1 St3 | -1 -1 -1 -1 70 71 70 71 |    -1    -1    -1    -1   521   817   615   722 |   0    0    0    0    0    0    1    0 | Q3 -25782     5   0         7    147954   -197    498
[Bayes]: Wh 1 Se 1 St3 | 69 69 69 70 -1 -1 -1 -1 |   593   844   510   835    -1    -1    -1    -1 |   0    1    0    0   -1    0    0    0 | Q3 -25753   -10   0       326    143150   -204    501
[Bayes]: Wh 1 Se 1 St3 | 69 69 69 70 -1 -1 -1 -1 |   593   844   510   835    -1    -1    -1    -1 |   0    1    0    0   -1    0    0    0 | Q3 -25753   -10   0       326    143150   -204    501
[Bayes]: Wh 1 Se 1 St4 | 59 60 59 60 -1 -1 -1 -1 |   772   571   868   530    -1    -1    -1    -1 |   1    0    1    0   -1    0    0    0 | Q3 -25844    -4   0        18     47007   -202    501
[Bayes]: Wh-1 Se 7 St3 | 11 11 11 11 10 11 10 11 |   559   780   788   878   813   606   748   664 |   1    1    0    1    1    0    1    0 | Q8 -17455    89   1    211858   -105042     90    535
